id,titulo,zona,direccion,codigo,codigo_asfi,latitud,longitud,ciudad,discapacitados,deposito_cheque,deposito_efectivo,horario_atencion,estado_aprobacion,monedas_disponibles,telefono_emergencia,servicios_ofertados,tipo_punto_atencion
3030,AG VILLA FATIMA TJA1,"AVENIDA LA PAZ, ESQUINA AVENIDA BELGRANO","AVENIDA LA PAZ, ESQUINA AVENIDA BELGRANO",MTJ443,BME422,-21.5378083333333,-64.723825,Tarija,False,False,True,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+611 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros, depósito de efectivo y transferencias a otros bancos.",Cajero Automático Especial Externo - Sin Recinto
3031,CLUB DE TENIS LPZ,AV. AREQUIPA 8450,AV. AREQUIPA 8450,MLP446,BME424,-16.5469333333333,-68.0908972222222,La Paz,False,False,False,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,2114010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros y transferencias a otros bancos.",Cajero Automático Interno
3032,HIPERMAXI ROCACORONA,AV. ROCA Y CORONADO ESQ. CALLE FRANCISCO BERNACHI. (HIPERMAXI ROCA Y CORONADO),AV. ROCA Y CORONADO ESQ. CALLE FRANCISCO BERNACHI. (HIPERMAXI ROCA Y CORONADO),MSC449,BME427,-17.785175,-63.2119722222222,Santa Cruz de la Sierra,False,False,False,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+311 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros y transferencias a otros bancos.",Cajero Automático Externo - Con Recinto
3033,IC NORTE,AV. BUSCH ENTRE 3ER ANILLO INTERNO Y EXTERNO (SUPERMERCADO IC NORTE),AV. BUSCH ENTRE 3ER ANILLO INTERNO Y EXTERNO (SUPERMERCADO IC NORTE),MSC457,BME437,-17.772975,-63.2034222222222,Santa Cruz de la Sierra,False,False,False,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+311 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros y transferencias a otros bancos.",Cajero Automático Externo - Con Recinto
3034,ZOILO FLORES,CALLE ZOILO FLORES N°1209 SAN PEDRO,CALLE ZOILO FLORES N°1209 SAN PEDRO,MLP452,BME444,-16.501525,-68.1382305555556,La Paz,False,False,True,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+211 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros, depósito de efectivo y transferencias a otros bancos.",Cajero Automático Especial Externo - Con Recinto
3035,HIPERMAXI LOS PINOS,"""AV. JOSE MARIA ACHA FRENTE A CALLE 25 FRENTE A LA CALLE LOS PINOS""",AV. JOSE MARIA ACHA FRENTE A CALLE 25 FRENTE A LA CALLE LOS PINOS,MLP450,BME446,-16.5455166666667,-68.0704527777778,La Paz,False,False,False,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,2114010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros y transferencias a otros bancos.",Cajero Automático Externo - Con Recinto
3036,AG VILLA BOLIVAR D,AV. VISCARRA N° 106 URB. MERCADO NUEVA ALIANZA Z. VILLA BOLIVAR D,AV. VISCARRA N° 106 URB. MERCADO NUEVA ALIANZA Z. VILLA BOLIVAR D,MLP457,BME449,-16.5237638888889,-68.1721416666667,El Alto,False,False,True,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+211 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros, depósito de efectivo y transferencias a otros bancos.",Cajero Automático Especial Externo - Con Recinto
3037,AROMA 2,AV. AROMA ENTRE CALLE LANZA Y CALLE ANTEZANA N° 653,AV. AROMA ENTRE CALLE LANZA Y CALLE ANTEZANA N° 653,MCB464,BME450,-17.3983666666667,-66.1516777777778,Cochabamba,False,False,True,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+411 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros, depósito de efectivo y transferencias a otros bancos.",Cajero Automático Especial Externo - Con Recinto
3038,LA GUARDIA KM 6,"KM 6 DOBLE Vía A LA GUARDIA, ZONA EL BAJIO, AL FRENTE DE FARMACIA FARMACORP","KM 6 DOBLE Vía A LA GUARDIA, ZONA EL BAJIO, AL FRENTE DE FARMACIA FARMACORP",MSC453,BME451,-17.8277833333333,-63.2259833333333,Santa Cruz de la Sierra,False,False,True,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+311 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros, depósito de efectivo y transferencias a otros bancos.",Cajero Automático Especial Externo - Con Recinto
3039,HIPERMAXI CENTENARIO,AV. HERNANDO SANABRIA ESQ. AV. 26 DE FEBRERO,AV. HERNANDO SANABRIA ESQ. AV. 26 DE FEBRERO (A LADO DE FARMACIA HIPERMAXI 2DO ANILLO),MSC454,BME452,-17.7793722222222,-63.1942861111111,Santa Cruz de la Sierra,False,False,True,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+311 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros, depósito de efectivo y transferencias a otros bancos.",Cajero Automático Especial Externo - Con Recinto
