ID,NOMBRE,DESCRIPCION,HORARIO,TELEFONO,TIPO,SUB_TIPO,LATITUD,LONGITUD,DIRECCION
8632,ATM: 568 Hospital Japonés,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.773262,-63.1539344,"Av. Japón N° 3565, 3er Anillo Externo, entre Av. Paragua y Av. Guapay"
2239,ATM: 319 Hipermaxi El Prado Cbba.,Cajero Automático,Horario.SI,800-103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.3841739576,-66.1588958272,"Av. José Ballivián N° 753, Supermercado Hipermaxi El Prado."
6226,ATM: 513 Polanco,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESPECIAL,-17.801662288579227,-63.161639776750405,"Av. Juan Pablo II N°3300, 3er. Anillo Interno, Barrio Polanco, entre Radial 10 y Av. San Aurelio."
8197,ATM: 741 Multicine El Alto,Cajero Automático,Horario.NO,800103999,Tipo.ATM,SubTipo.ATM_ESPECIAL,-16.4915197,-68.2039551,"Av. Juan Pablo II, Zona Rio Seco, Multicine, El Alto"
156,ATM: 311 Surtidor El Cristo Cbba - Depositario,Cajero Automático,Horario.SI,800-103999,Tipo.ATM,SubTipo.ATM_ESPECIAL,-17.3786722222222,-66.1656111111111,"Av. Juan de la Rosa No. 0536 frente a la plazuela las Palmas, rotonda del Surtidor El Cristo en Cochabamba"
8638,ATM: 565 La Campana,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.8189678,-63.1186264,"Av. La Campana, Esq. Av. 10 de Octubre"
9574,Kiosko de Autoservicio Ag. Fatima,Kiosko de Autoservicio,Horario.NO,3173000,Tipo.ATM,SubTipo.KIOSCO,-21.536898486491392,-64.72622770438595,Av. La Paz N° 495 entre Av. José Manuel Belgrano y Delfin Pino
8327,ATM: 231 Agencia Fátima,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESPECIAL,-21.5381733375263,-64.72414941244917,"Av. La Paz N° 495, entre Av. Jose Manuel Belgrano y Delfín Pino"
143,AGENCIA FÁTIMA,Tarija,Horario.NO,(591-4) 665-4000,Tipo.AGENCIA,SubTipo.AGENCIA_NORMAL,-21.53816154463264,-64.72413466029957,Av. La Paz Nº495 entre Av. José Manuel Belgrano y Delfin Pino (Ba. Villa Fátima).
5614,ATM: 703 Plaza El Cóndor,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-16.50902571282728,-68.13539933487375,"Av. Landaeta N° 793, Plaza El Cóndor, Zona San Pedro Alto."
41,ATM: 158 Country Club Las Palmas,Cajero Automático,Horario.SI,800-103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.8031527778,-63.2067638889,"Av. Las Palmas, Country Club Las Palmas"
6284,ATM: 236 SENAC,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-21.539605453040462,-64.74559201639404,"Av. Los Ceibos, Esq. Av. Julio Arce, Zona Senac."
6280,ATM: 237 JUAN XXIII,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESPECIAL,-21.540313390176266,-64.71346912820701,"Av. M. Font, entre Av. Defensores del Chaco y Calle Porvenir."
5656,ATM: 710 COTEL,Cajero Automático,Horario.SI,800109999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-16.49737771421428,-68.136417292126,"Av. Mariscal Santa Cruz Nº 980, Edificio Cotel, entre calles Cochabamba y Sagarnaga."
